,cluster,stock,company,company cap
0,0,AAPL,Apple Inc.,2908.551380992
1,0,V,Visa Inc.,479.42909952
2,0,UNH,UnitedHealth Group,426.868867072
3,0,JNJ,Johnson & Johnson,426.789404672
4,0,WMT,Walmart,418.817376256
5,0,MA,Mastercard,356.810752
6,0,PG,Procter & Gamble,352.46129152
7,0,ORCL,Oracle Corporation,338.71691776
8,0,KO,Coca-Cola Company (The),266.696835072
9,0,PEP,PepsiCo,256.305430528
10,0,COST,Costco,232.05445632
11,0,PFE,Pfizer,226.151120896
12,0,MCD,McDonald's,214.428614656
13,0,TMO,Thermo Fisher Scientific,207.247884288
14,0,LIN,Linde plc,183.740858368
15,0,DHR,Danaher Corporation,178.423988224
16,0,TXN,Texas Instruments,160.436912128
17,0,WFC,Wells Fargo,158.268637184
18,0,UPS,United Parcel Service,153.379864576
19,0,VZ,Verizon,153.277464576
20,0,NEE,NextEra Energy,152.950308864
21,0,PM,Philip Morris International,147.288244224
22,0,MS,Morgan Stanley,147.119980544
23,0,RTX,Raytheon Technologies,142.811824128
24,0,HON,Honeywell,135.11245824
25,0,AXP,American Express,127.993544704
26,0,CAT,Caterpillar Inc.,126.64418304
27,0,IBM,IBM,124.838019072
28,0,UNP,Union Pacific Corporation,124.786270208
29,0,DE,John Deere,120.78972928
30,0,MDT,Medtronic,118.641713152
31,0,T,AT&T,114.812936192
32,0,GS,Goldman Sachs,112.470482944
33,0,SYK,Stryker Corporation,111.737618432
34,0,ELV,Elevance Health,105.065586688
35,0,MDLZ,Mondelez International,100.191305728
36,0,SCHW,Charles Schwab Corporation,99.010174976
37,0,GILD,Gilead Sciences,98.366021632
38,0,BKNG,Booking Holdings,97.5415296
39,0,ADI,Analog Devices,94.447091712
40,0,TJX,TJX Companies,93.387251712
41,0,ADP,ADP,91.43238656
42,0,AMT,American Tower,91.200512
43,0,MMC,Marsh McLennan,89.618702336
44,0,CVS,CVS Health,86.819069952
45,0,REGN,Regeneron,85.908414464
46,0,CB,Chubb Limited,80.73908224
47,0,HCA,HCA Healthcare,79.797813248
48,0,MO,Altria,78.66671104
49,0,SO,Southern Company,78.247108608
50,0,BSX,Boston Scientific,78.095859712
51,0,ETN,Eaton Corporation,76.236234752
52,0,ITW,Illinois Tool Works,75.364909056
53,0,FI,Fiserv,74.052509696
54,0,BDX,Becton Dickinson,73.454804992
55,0,DUK,Duke Energy,71.038705664
56,0,CSX,CSX,67.517587456
57,0,AON,Aon,67.2745472
58,0,WM,Waste Management,67.137007616
59,0,SNPS,Synopsys,67.131469824
60,0,CME,CME Group,66.227683328
61,0,APD,Air Products and Chemicals,65.11980544
62,0,CL,Colgate-Palmolive,64.52379648
63,0,CDNS,Cadence Design Systems,64.309792768
