,cluster,stock,company,company cap
0,0,XOM,ExxonMobil,425.03847936
1,0,LLY,Eli Lilly and Company,424.999026688
2,0,CVX,Chevron Corporation,297.95106816
3,0,MRK,Merck & Co.,277.392949248
4,0,TMUS,T-Mobile US,157.10158848
5,0,BMY,Bristol Myers Squibb,138.992254976
6,0,COP,ConocoPhillips,126.95949312
7,0,LMT,Lockheed Martin,116.28617728
8,0,VRTX,Vertex Pharmaceuticals,89.599770624
9,0,CI,Cigna,79.539265536
10,0,PGR,Progressive Corporation,76.096151552
11,0,NOC,Northrop Grumman,69.604573184
12,0,SLB,Schlumberger,68.10226688
13,0,EOG,EOG Resources,66.32886272
14,0,ATVI,Activision Blizzard,64.441450496
15,0,MCK,McKesson,55.045378048
16,0,HSY,Hershey's,53.290909696
17,0,OXY,Occidental Petroleum,51.854974976
18,0,MPC,Marathon Petroleum,48.714698752
19,0,PXD,Pioneer Natural Resources,48.336605184
20,0,SRE,Sempra Energy,46.631571456
21,0,PSX,Phillips 66,44.569268224
22,0,HES,Hess Corporation,41.623969792
23,0,VLO,Valero Energy,41.288855552
24,0,ADM,ADM,41.10905344
25,0,CTVA,Corteva,40.683261952
26,0,KMI,Kinder Morgan,38.30626304
27,0,NUE,Nucor,38.037676032
28,0,WMB,Williams Companies,37.191340032
29,0,DVN,Devon Energy,31.956658176
30,0,BKR,Baker Hughes,31.16183552
31,0,HAL,Halliburton,29.393514496
32,0,PWR,Quanta Services,26.99547648
33,0,ENPH,Enphase,24.915970048
34,0,FANG,Diamondback Energy,23.31404288
35,0,CAH,Cardinal Health,23.232249856
36,0,FSLR,First Solar,20.189046784
37,0,CTRA,Coterra,19.095390208
38,0,STLD,Steel Dynamics,17.33105664
39,0,LW,Lamb Weston,16.659794944
40,0,TRGP,Targa Resources,16.22590464
41,0,WRB,Berkley,15.458742272
42,0,MRO,Marathon Oil,14.513693696
43,0,EQT,EQT,14.33552896
44,0,CF,CF Industries,13.897649152
45,0,MOS,Mosaic Company (The),11.896143872
46,0,APA,APA Corporation,10.609634304
47,0,HII,Huntington Ingalls Industries,8.82302464
48,1,MSFT,Microsoft,2545.391239168
49,1,GOOGL,Alphabet Inc. (Class A),1572.52452352
50,1,GOOG,Alphabet Inc. (Class C),1570.475606016
51,1,AMZN,Amazon,1287.577534464
52,1,NVDA,Nvidia,1054.492459008
53,1,TSLA,"Tesla, Inc.",825.781518336
54,1,META,Meta Platforms,720.127131648
55,1,JPM,JPMorgan Chase,418.6472448
56,1,AVGO,Broadcom Inc.,358.255951872
57,1,HD,Home Depot (The),301.996048384
58,1,BAC,Bank of America,232.619491328
59,1,ADBE,Adobe Inc.,227.139059712
60,1,CSCO,Cisco,212.1883648
61,1,CRM,Salesforce,206.254227456
62,1,ACN,Accenture,201.962061824
63,1,AMD,AMD,193.372045312
64,1,NFLX,Netflix,192.02392064
65,1,ABT,Abbott,184.676483072
66,1,NKE,"Nike, Inc.",174.5866752
67,1,CMCSA,Comcast,171.755798528
68,1,DIS,Disney,166.869024768
69,1,INTC,Intel,151.699275776
70,1,QCOM,Qualcomm,136.665522176
71,1,BA,Boeing,132.344659968
72,1,INTU,Intuit,127.435702272
73,1,LOW,Lowe's,127.204753408
74,1,SPGI,S&P Global,126.78336512
75,1,SBUX,Starbucks,116.783767552
76,1,AMAT,Applied Materials,116.666048512
77,1,GE,General Electric,115.885858816
78,1,ISRG,Intuitive Surgical,115.407085568
79,1,NOW,ServiceNow,115.210887168
80,1,PLD,Prologis,113.244635136
81,1,BLK,BlackRock,105.25044736
82,1,BKNG,Booking Holdings,97.5415296
83,1,C,Citigroup,93.813874688
84,1,AMT,American Tower,91.200512
85,1,LRCX,Lam Research,82.303401984
86,1,ZTS,Zoetis,78.90100224
87,1,PYPL,PayPal,74.116612096
88,1,MU,Micron Technology,74.046431232
89,1,EL,Estée Lauder Companies (The),72.89438208
90,1,EQIX,Equinix,72.818171904
91,1,SHW,Sherwin-Williams,63.928352768
92,1,MCO,Moody's Corporation,62.729478144
93,1,ICE,Intercontinental Exchange,62.525947904
94,1,TGT,Target Corporation,61.761343488
95,1,FDX,FedEx,58.680639488
96,1,F,Ford Motor Company,57.691103232
97,1,MMM,3M,57.671790592
98,1,EW,Edwards Lifesciences,55.735681024
99,1,GM,General Motors,52.76895232
100,1,ECL,Ecolab,51.830607872
101,1,NXPI,NXP Semiconductors,51.3901568
102,1,CHTR,Charter Communications,51.382214656
103,1,PNC,PNC Financial Services,51.347144704
104,1,USB,U.S. Bank,51.276177408
105,1,DXCM,Dexcom,50.43144704
106,1,CCI,Crown Castle,49.70303488
107,1,MRNA,Moderna,49.073033216
108,1,MCHP,Microchip Technology,46.624878592
109,1,ADSK,Autodesk,45.630500864
110,1,JCI,Johnson Controls,44.918902784
111,1,TEL,TE Connectivity,42.745348096
112,1,TT,Trane Technologies,42.659405824
113,1,TFC,Truist,42.488246272
114,1,SPG,Simon Property Group,42.214703104
115,1,COF,Capital One,42.02539008
116,1,CPRT,Copart,41.6709632
117,1,IDXX,Idexx Laboratories,40.093855744
118,1,IQV,IQVIA,40.082292736
119,1,DHI,D.R. Horton,39.70066432
120,1,CARR,Carrier Global,39.137206272
121,1,MSCI,MSCI,38.248689664
122,1,ROK,Rockwell Automation,36.277522432
123,1,ODFL,Old Dominion,35.687337984
124,1,BK,BNY Mellon,35.23483648
125,1,LEN,Lennar,34.164051968
126,1,PPG,PPG Industries,33.683320832
127,1,CTSH,Cognizant,33.026603008
128,1,ILMN,Illumina,32.548046848
129,1,VRSK,Verisk,32.50847744
130,1,FIS,FIS,32.453697536
131,1,FAST,Fastenal,32.309557248
132,1,DD,DuPont,31.860371456
133,1,DLR,Digital Realty,31.323549696
134,1,WBD,Warner Bros. Discovery,31.182209024
135,1,KEYS,Keysight,29.405749248
136,1,MTD,Mettler Toledo,29.110042624
137,1,AWK,American Water Works,28.99806208
138,1,ANSS,Ansys,28.97693696
139,1,WBA,Walgreens Boots Alliance,28.1875456
140,1,EFX,Equifax,28.179912704
141,1,VMC,Vulcan Materials Company,27.5844608
142,1,APTV,Aptiv,27.440128
143,1,AVB,AvalonBay Communities,27.327709184
144,1,XYL,Xylem Inc.,27.157082112
145,1,WST,West Pharmaceutical Services,26.87879168
146,1,MLM,Martin Marietta Materials,26.432172032
147,1,IR,Ingersoll Rand,26.099564544
148,1,TROW,T. Rowe Price,25.641631744
149,1,EQR,Equity Residential,25.280540672
150,1,ALGN,Align Technology,25.27280128
151,1,SBAC,SBA Communications,24.979724288
152,1,STT,State Street Corporation,24.658286592
153,1,RCL,Royal Caribbean Group,24.371736576
154,1,CBRE,CBRE Group,24.185837568
155,1,EBAY,eBay,24.095250432
156,1,UDR,"UDR, Inc.",23.869016064
157,1,TTWO,Take-Two Interactive,23.476465664
158,1,VRSN,Verisign,23.285233664
159,1,BAX,Baxter International,22.945355776
160,1,INVH,Invitation Homes,21.137321984
161,1,STE,Steris,21.072840704
162,1,LH,LabCorp,20.756322304
163,1,LYV,Live Nation Entertainment,20.731570176
164,1,EXR,Extra Space Storage,20.668112896
165,1,DOV,Dover Corporation,20.660189184
166,1,CCL,Carnival,20.584556544
167,1,IFF,International Flavors & Fragrances,20.496562176
168,1,GRMN,Garmin,20.276740096
169,1,ARE,Alexandria Real Estate Equities,19.974465536
170,1,NVR,"NVR, Inc.",19.450464256
171,1,BR,Broadridge Financial Solutions,18.971344896
172,1,MAA,Mid-America Apartment Communities,18.607624192
173,1,BALL,Ball Corporation,18.37903872
174,1,COO,CooperCompanies,18.189697024
175,1,EXPD,Expeditors International,18.156273664
176,1,FITB,Fifth Third Bank,18.066204672
177,1,BBY,Best Buy,17.411055616
178,1,SWKS,Skyworks Solutions,17.389277184
179,1,TER,Teradyne,17.21863168
180,1,TYL,Tyler Technologies,16.5101824
181,1,PHM,PulteGroup,16.409196544
182,1,NTAP,NetApp,15.908114432
183,1,ESS,Essex Property Trust,15.741556736
184,1,EXPE,Expedia Group,15.681993728
185,1,NTRS,Northern Trust,15.565231104
186,1,MGM,MGM Resorts,15.512389632
187,1,RVTY,Revvity,14.960094208
188,1,ZBRA,Zebra Technologies,14.523916288
189,1,SYF,Synchrony Financial,14.099986432
190,1,POOL,Pool Corporation,13.97372416
191,1,AKAM,Akamai,13.926482944
192,1,SWK,Stanley Black & Decker,13.920699392
193,1,BEN,Franklin Templeton,13.5082752
194,1,STX,Seagate Technology,13.315373056
195,1,CFG,Citizens Financial Group,13.19351296
196,1,TRMB,Trimble Inc.,13.048834048
197,1,WDC,Western Digital,12.94785024
198,1,EPAM,EPAM Systems,12.710836224
199,1,KMX,CarMax,12.588944384
200,1,MAS,Masco,12.492439552
201,1,CE,Celanese,12.401831936
202,1,TECH,Bio-Techne,12.357229568
203,1,VTRS,Viatris,12.338019328
204,1,CPT,Camden Property Trust,12.075849728
205,1,TFX,Teleflex,11.85565696
206,1,MTCH,Match Group,11.76497664
207,1,DPZ,Domino's,11.71169792
208,1,ETSY,Etsy,11.66909952
209,1,PEAK,Healthpeak,11.306406912
210,1,NWSA,News Corp (Class A),11.245568
211,1,NWS,News Corp (Class B),11.243469824
212,1,BIO,Bio-Rad,10.901788672
213,1,CRL,Charles River Laboratories,10.747897856
214,1,PARA,Paramount Global,10.708772864
215,1,AOS,A. O. Smith,10.681381888
216,1,CZR,Caesars Entertainment,10.510563328
217,1,MKTX,MarketAxess,10.44007424
218,1,ALLE,Allegion,10.415527936
219,1,CDAY,Ceridian,10.399479808
220,1,QRVO,Qorvo,10.132308992
221,1,PNR,Pentair,10.030609408
222,1,EMN,Eastman Chemical Company,9.850295296
223,1,KEY,KeyCorp,9.287172096
224,1,FFIV,"F5, Inc.",9.189925888
225,1,BBWI,"Bath & Body Works, Inc.",8.916122624
226,1,DVA,DaVita Inc.,8.85413376
227,2,AAPL,Apple Inc.,2908.551380992
228,2,V,Visa Inc.,479.42909952
229,2,UNH,UnitedHealth Group,426.868867072
230,2,JNJ,Johnson & Johnson,426.789404672
231,2,WMT,Walmart,418.817376256
232,2,MA,Mastercard,356.810752
233,2,PG,Procter & Gamble,352.46129152
234,2,ORCL,Oracle Corporation,338.71691776
235,2,KO,Coca-Cola Company (The),266.696835072
236,2,PEP,PepsiCo,256.305430528
